name,condition,conf_clear,conf_adverse,conf_drop_pct,ent_clear,ent_adverse,ent_rise,kl,mean_iou_adv,iou_adv_c0,iou_adv_c1,iou_adv_c2,iou_adv_c3,iou_adv_c4,iou_adv_c5,iou_adv_c6,iou_adv_c7,iou_adv_c8,iou_adv_c9,iou_adv_c10,iou_adv_c11,iou_adv_c12,iou_adv_c13,iou_adv_c14,iou_adv_c15,iou_adv_c16,iou_adv_c17,iou_adv_c18
GP010476_frame_000194,fog,0.9691656231880188,0.9357383847236633,0.03449073854837211,0.09157051891088486,0.180220365524292,0.08864984661340714,2.3028483390808105,0.298647403717041,0.57736736536026,0.0,0.0,0.07471350580453873,0.017634497955441475,0.26356351375579834,,0.323129266500473,0.9408092498779297,0.12559060752391815,0.9623139500617981,,,0.0,,,,,
GP010476_frame_000014,fog,0.9494723081588745,0.9275294542312622,0.02311057785250841,0.1382388025522232,0.19453181326389313,0.05629301071166992,4.586261749267578,0.45247727632522583,0.9525858759880066,0.509982168674469,0.7017114162445068,0.0,0.0,0.2980175316333771,0.6881862282752991,0.44296029210090637,0.7377249598503113,0.634105384349823,0.9209454655647278,0.0,,0.9009401202201843,,0.0,,,0.0
GP010476_frame_000068,fog,0.9713897705078125,0.9624211192131042,0.009232803839072426,0.07900651544332504,0.10395993292331696,0.024953417479991913,2.963308095932007,0.5807512998580933,0.9718105792999268,0.7681477665901184,0.9386091828346252,0.0,0.537514865398407,0.2212459295988083,0.190476194024086,0.4514579772949219,0.8754754066467285,0.5237416625022888,0.9778977632522583,0.8589930534362793,,0.8151476979255676,,,,,0.0
GP010476_frame_000147,fog,0.9698956608772278,0.9531763195991516,0.017238288385135553,0.08531308174133301,0.13091589510440826,0.045602813363075256,1.9402321577072144,0.39698588848114014,0.9432345628738403,0.0,0.0,0.7873641848564148,0.0,0.5619176626205444,,0.0,0.8439057469367981,0.008768979460000992,0.9573022127151489,0.0,,0.6613371968269348,,,,,
GP010476_frame_000102,fog,0.9332441687583923,0.8980585932731628,0.03770243231738249,0.18234783411026,0.2666874825954437,0.08433964848518372,3.203111410140991,0.5245723724365234,0.9220982789993286,0.7123245596885681,0.352408766746521,,0.0,0.5062379837036133,,0.186749666929245,0.6734753847122192,0.6079428791999817,0.7721261978149414,0.0,,0.664276123046875,0.8972286581993103,,,,
GP010476_frame_000058,fog,0.9301391243934631,0.9513168334960938,-0.02276832392009873,0.19212214648723602,0.1411764919757843,-0.05094565451145172,5.2289557456970215,0.6082984209060669,0.974500298500061,0.24402840435504913,0.7302330732345581,,,0.28812626004219055,0.5855844616889954,0.3215404152870178,0.9094405174255371,0.0,0.9087814688682556,,,0.7544102072715759,0.9746374487876892,,,,
GOPR0476_frame_000761,fog,0.9493730664253235,0.9684971570968628,-0.020143915122964394,0.13669289648532867,0.08956471085548401,-0.047128185629844666,2.8038949966430664,0.46261003613471985,0.9688657522201538,0.25553005933761597,0.8309220671653748,0.0,0.0,0.34633269906044006,0.8147987723350525,0.0,,0.0,0.9929704666137695,,,0.8792902827262878,,,,,
GOPR0476_frame_000962,fog,0.9556931257247925,0.9522263407707214,0.003627508479949324,0.12611418962478638,0.13530799746513367,0.00919380784034729,3.2282228469848633,0.49628064036369324,0.9880924224853516,0.8826131820678711,0.748932957649231,0.0,0.0,0.3859930634498596,0.6097114086151123,0.4545990526676178,0.9381425380706787,0.0,0.981931209564209,0.04722010716795921,,0.9133653044700623,0.0,,,,0.4936079680919647
GOPR0476_frame_000879,fog,0.96161949634552,0.9310294389724731,0.03181097842877528,0.10540542751550674,0.18520469963550568,0.07979927211999893,3.42431378364563,0.5326213836669922,0.989837646484375,0.824425220489502,0.805621862411499,0.7657597661018372,0.0,0.5205338001251221,0.0,0.5592556595802307,0.7172443866729736,0.7320486903190613,0.963057816028595,,,0.5789144039154053,0.0,,,,0.0
GOPR0476_frame_000916,fog,0.9174867272377014,0.9258958101272583,-0.009165345446708368,0.22151297330856323,0.20638127624988556,-0.015131697058677673,3.1386985778808594,0.5709595680236816,0.9143344759941101,0.617070198059082,0.6941084861755371,0.0,5.674402927979827e-05,0.6833020448684692,0.6278166770935059,0.0,0.8790823817253113,0.606225311756134,0.8756285905838013,0.6958162784576416,,0.8290333151817322,,,,,
